"AP" "PV" "MS" "GJ" "PP" "PC" "W"
"Bayer Leverkusen" -0.104004603277291 0.0360480660934687 0.222890377620997 -0.224191391682892 -0.474341649025257 0.316227766016838 -0.192536414252656
"Bayern de Munique" 0.767310557157459 1.4554406685238 2.01769102657367 0.9367997438178 1.89736659610103 0.316227766016838 -0.219470759712079
"Borussia Dortmund" 0.438147052104331 0.824599511888099 1.28910858491962 0.656560504214185 1.89736659610103 0.316227766016838 0.567392753841919
"Borussia Mönchengladbach" -0.336355312726558 -0.358227656803847 -0.00812356729370374 -0.684584428174546 -0.474341649025257 0.316227766016838 -0.653624784552444
"Eintracht Frankfurt" 2.38823336355353 1.56809087506589 -1.33074186729985 2.19787632203407 -0.474341649025257 -2.84604989415154 -2.13563031020487
"Hamburgo" -0.781694172504319 -0.910213668860088 -0.683395098582829 -1.02487493340751 -0.474341649025257 0.316227766016838 0.208965816469384
"Hannover 96" -0.607431140417369 -0.673648235121698 -0.345759332938266 -0.544464808372738 -0.474341649025257 0.316227766016838 -0.291369026373144
"Schalke 04" -0.104004603277291 0.193758355252395 -0.612313884762921 0.0760649364638385 -0.474341649025257 0.316227766016838 0.0133335578191455
"VfL Wolfsburg" -0.723606495142002 -0.989068813439551 -0.683395098582829 -0.804686959433238 -0.474341649025257 0.316227766016838 -0.145531548743958
"Werder Bremen" -0.936594645470497 -1.14677910259848 0.134038860346112 -0.584498985458969 -0.474341649025257 0.316227766016838 -1.06110688700396
